eventId,familyId,userId,challengeId,category,mode,durationType,progressType,deviceType,eventDate,day_index,weekday,notificationTime,completionTime,completed,personalPoints,familyPoints,energyKwh
evt_00000,fam_1,user_2,daily_water_2,health,daily,short,counter,none,2025-10-01,60,4,06:21:00,08:06:00,1,6,18,0.0
evt_00001,fam_1,user_4,speed_laundry_in,laundry,speed,short,device,washer,2025-10-01,120,1,06:31:00,06:42:00,1,8,16,0.0
evt_00002,fam_1,user_3,monthly_heating,energy,monthly,long,energy,ac,2025-10-01,30,2,06:33:00,08:31:00,1,8,8,2.885245250094593
evt_00003,fam_1,user_1,daily_water_2,health,daily,short,counter,none,2025-10-01,0,3,07:00:00,07:15:00,1,5,5,0.0
evt_00004,fam_1,user_1,daily_robot_clean,cleaning,daily,short,device,robot_vacuum,2025-10-01,0,3,07:15:00,07:45:00,1,5,5,0.0
evt_00005,fam_1,user_1,daily_robot_clean,cleaning,daily,short,device,robot_vacuum,2025-10-01,0,3,08:00:00,08:30:00,1,5,5,0.0
evt_00006,fam_1,user_1,daily_robot_clean,cleaning,daily,short,device,robot_vacuum,2025-10-01,0,3,08:00:00,08:30:00,1,5,10,0.0
evt_00007,fam_1,user_1,daily_water_2,health,daily,short,counter,none,2025-10-01,0,3,08:00:00,08:30:00,1,5,5,0.0
evt_00008,fam_1,user_1,daily_robot_clean,cleaning,daily,short,device,robot_vacuum,2025-10-01,0,3,08:00:00,08:30:00,1,5,10,0.0
evt_00009,fam_1,user_1,daily_robot_clean,cleaning,daily,short,device,robot_vacuum,2025-10-01,0,3,08:00:00,08:30:00,1,5,5,0.0
evt_00010,fam_1,user_1,daily_water_2,health,daily,short,counter,none,2025-10-01,0,3,08:00:00,08:30:00,1,5,10,0.0
evt_00011,fam_1,user_1,daily_robot_clean,cleaning,daily,short,device,robot_vacuum,2025-10-01,0,3,08:00:00,08:30:00,1,5,10,0.0
evt_00012,fam_1,user_1,daily_robot_clean,cleaning,daily,short,device,robot_vacuum,2025-10-01,0,3,08:00:00,08:30:00,1,5,5,0.0
evt_00013,fam_1,user_1,daily_robot_clean,cleaning,daily,short,device,robot_vacuum,2025-10-01,0,3,08:15:00,08:45:00,1,5,10,0.0
evt_00014,fam_1,user_1,daily_water_2,health,daily,short,counter,none,2025-10-01,0,3,08:15:00,08:45:00,1,5,10,0.0
evt_00015,fam_1,user_1,daily_water_2,health,daily,short,counter,none,2025-10-01,0,3,08:30:00,09:00:00,1,5,10,0.0
evt_00016,fam_1,user_1,daily_water_2,health,daily,short,counter,none,2025-10-01,0,3,08:30:00,09:00:00,1,5,5,0.0
evt_00017,fam_1,user_1,daily_robot_clean,cleaning,daily,short,device,robot_vacuum,2025-10-01,0,3,09:00:00,09:30:00,1,5,10,0.0
evt_00018,fam_1,user_1,daily_robot_clean,cleaning,daily,short,device,robot_vacuum,2025-10-01,0,3,09:00:00,09:30:00,1,5,5,0.0
evt_00019,fam_1,user_1,daily_robot_clean,cleaning,daily,short,device,robot_vacuum,2025-10-01,0,3,09:00:00,09:30:00,1,5,10,0.0
evt_00020,fam_1,user_1,daily_robot_clean,cleaning,daily,short,device,robot_vacuum,2025-10-01,0,3,09:00:00,09:30:00,1,5,10,0.0
evt_00021,fam_1,user_1,daily_robot_clean,cleaning,daily,short,device,robot_vacuum,2025-10-01,0,3,09:15:00,09:45:00,1,5,10,0.0
evt_00022,fam_1,user_2,daily_robot_clean,cleaning,daily,short,device,robot_vacuum,2025-10-01,0,0,10:00:00,10:30:00,1,5,10,0.0
evt_00023,fam_1,user_3,speed_laundry_in,laundry,speed,short,device,washer,2025-10-01,30,2,10:57:00,12:23:00,1,8,16,0.0
evt_00024,fam_1,user_3,daily_robot_clean,cleaning,daily,short,device,robot_vacuum,2025-10-01,150,3,11:14:00,,0,2,6,0.0
evt_00025,fam_1,user_2,speed_laundry_in,laundry,speed,short,device,washer,2025-10-01,0,3,11:15:00,11:45:00,1,6,12,0.0
evt_00026,fam_1,user_2,daily_water_2,health,daily,short,counter,none,2025-10-01,90,6,12:08:00,,0,4,12,0.0
evt_00027,fam_1,user_2,monthly_heating,energy,monthly,long,energy,ac,2025-10-01,0,0,12:48:00,14:25:00,1,8,8,0.6927315470586087
evt_00028,fam_1,user_4,daily_robot_clean,cleaning,daily,short,device,robot_vacuum,2025-10-01,0,0,13:00:00,13:30:00,1,6,6,0.0
evt_00029,fam_1,user_1,daily_robot_clean,cleaning,daily,short,device,robot_vacuum,2025-10-01,0,0,13:45:00,14:15:00,1,5,5,0.0
evt_00030,fam_1,user_2,monthly_heating,energy,monthly,long,energy,ac,2025-10-01,90,6,14:01:00,15:36:00,1,2,4,2.565342057781411
evt_00031,fam_1,user_3,daily_robot_clean,cleaning,daily,short,device,robot_vacuum,2025-10-01,0,0,16:39:00,18:05:00,1,2,6,0.0
evt_00032,fam_1,user_1,daily_water_2,health,daily,short,counter,none,2025-10-01,30,2,17:34:00,,0,6,6,0.0
evt_00033,fam_1,user_1,monthly_heating,energy,monthly,long,energy,ac,2025-10-01,60,4,17:54:00,19:01:00,1,8,16,2.64630547315052
evt_00034,fam_1,user_2,monthly_heating,energy,monthly,long,energy,ac,2025-10-01,150,3,17:56:00,19:10:00,1,4,8,2.7700560290899032
evt_00035,fam_1,user_1,speed_dishwasher,dishwashing,speed,short,device,dishwasher,2025-10-01,60,4,18:11:00,18:33:00,1,4,8,0.0
evt_00036,fam_1,user_1,daily_robot_clean,cleaning,daily,short,device,robot_vacuum,2025-10-01,120,1,18:24:00,18:35:00,1,6,18,0.0
evt_00037,fam_1,user_1,speed_laundry_in,laundry,speed,short,device,washer,2025-10-01,90,6,19:03:00,20:55:00,1,4,8,0.0
evt_00038,fam_1,user_1,monthly_heating,energy,monthly,long,energy,ac,2025-10-01,120,1,20:17:00,21:42:00,1,2,6,1.6169698439521918
evt_00039,fam_1,user_2,speed_dishwasher,dishwashing,speed,short,device,dishwasher,2025-10-01,150,3,21:31:00,,0,6,6,0.0
evt_00040,fam_1,user_3,speed_laundry_in,laundry,speed,short,device,washer,2025-10-01,0,0,21:40:00,22:07:00,1,2,6,0.0
evt_00041,fam_1,user_2,daily_robot_clean,cleaning,daily,short,device,robot_vacuum,2025-10-02,121,2,06:52:00,,0,8,24,0.0
evt_00042,fam_1,user_1,daily_water_2,health,daily,short,counter,none,2025-10-02,1,5,07:15:00,08:00:00,1,5,5,0.0
evt_00043,fam_1,user_1,daily_water_2,health,daily,short,counter,none,2025-10-02,0,3,07:30:00,08:15:00,1,5,10,0.0
evt_00044,fam_1,user_2,daily_water_2,health,daily,short,counter,none,2025-10-02,61,5,08:00:00,08:30:00,1,5,10,0.0
evt_00045,fam_1,user_1,daily_water_2,health,daily,short,counter,none,2025-10-02,61,5,08:00:00,08:30:00,1,5,5,0.0
evt_00046,fam_1,user_1,daily_water_2,health,daily,short,counter,none,2025-10-02,1,2,08:00:00,08:30:00,1,5,10,0.0
evt_00047,fam_1,user_1,daily_water_2,health,daily,short,counter,none,2025-10-02,1,2,08:00:00,08:30:00,1,5,10,0.0
evt_00048,fam_1,user_1,daily_robot_clean,cleaning,daily,short,device,robot_vacuum,2025-10-02,61,5,08:15:00,08:45:00,1,5,10,0.0
evt_00049,fam_1,user_1,daily_robot_clean,cleaning,daily,short,device,robot_vacuum,2025-10-02,61,5,08:15:00,08:45:00,1,5,10,0.0
evt_00050,fam_1,user_1,daily_robot_clean,cleaning,daily,short,device,robot_vacuum,2025-10-02,61,5,08:15:00,08:45:00,1,5,10,0.0
evt_00051,fam_1,user_1,daily_water_2,health,daily,short,counter,none,2025-10-02,1,2,08:15:00,08:45:00,1,5,10,0.0
evt_00052,fam_1,user_1,daily_robot_clean,cleaning,daily,short,device,robot_vacuum,2025-10-02,61,5,08:15:00,09:00:00,1,5,10,0.0
evt_00053,fam_1,user_1,daily_water_2,health,daily,short,counter,none,2025-10-02,1,2,08:15:00,08:45:00,1,5,10,0.0
evt_00054,fam_1,user_2,daily_water_2,health,daily,short,counter,none,2025-10-02,61,5,08:15:00,08:45:00,1,5,10,0.0
evt_00055,fam_1,user_1,daily_robot_clean,cleaning,daily,short,device,robot_vacuum,2025-10-02,61,5,08:15:00,08:45:00,1,5,10,0.0
evt_00056,fam_1,user_1,daily_robot_clean,cleaning,daily,short,device,robot_vacuum,2025-10-02,61,5,08:15:00,08:45:00,1,5,5,0.0
evt_00057,fam_1,user_3,daily_water_2,health,daily,short,counter,none,2025-10-02,1,1,08:15:00,08:45:00,1,3,6,0.0
evt_00058,fam_1,user_1,daily_water_2,health,daily,short,counter,none,2025-10-02,61,5,08:15:00,09:00:00,1,5,10,0.0
evt_00059,fam_1,user_1,daily_water_2,health,daily,short,counter,none,2025-10-02,1,2,08:15:00,09:00:00,1,5,5,0.0
evt_00060,fam_1,user_1,daily_robot_clean,cleaning,daily,short,device,robot_vacuum,2025-10-02,61,5,08:15:00,08:45:00,1,5,10,0.0
evt_00061,fam_1,user_2,daily_robot_clean,cleaning,daily,short,device,robot_vacuum,2025-10-02,61,5,08:15:00,09:00:00,1,5,10,0.0
evt_00062,fam_1,user_1,daily_robot_clean,cleaning,daily,short,device,robot_vacuum,2025-10-02,61,5,08:15:00,08:45:00,1,5,10,0.0
evt_00063,fam_1,user_2,daily_water_2,health,daily,short,counter,none,2025-10-02,61,5,08:15:00,09:00:00,1,5,10,0.0
evt_00064,fam_1,user_1,daily_water_2,health,daily,short,counter,none,2025-10-02,1,2,08:15:00,09:00:00,1,5,5,0.0
evt_00065,fam_1,user_1,daily_water_2,health,daily,short,counter,none,2025-10-02,61,5,08:15:00,08:45:00,1,5,10,0.0
evt_00066,fam_1,user_1,daily_water_2,health,daily,short,counter,none,2025-10-02,61,5,08:15:00,08:45:00,1,5,10,0.0
